Feature,Importance
ALTV,0.25983614377359526
ASTV,0.252167663422678
Mean,0.16936808114449148
DP.1,0.062348605448605376
AC,0.04236059215543598
Mode,0.0348027378931514
AC.1,0.02792956340216834
Median,0.01911021204588047
Min,0.017948386370525402
LB,0.015568836987602749
FM.1,0.011508991793121794
e,0.011245859257604933
Max,0.010973650950260965
UC.1,0.00874160389708204
DP,0.007876085724946361
mSTV,0.007558292608294508
Width,0.00698436655233448
Nmax,0.006758041843722942
b,0.0065968822458220425
mLTV,0.006557201366151426
Variance,0.005721258034675378
UC,0.0035495102719610427
FM,0.002389468876625114
DL.1,0.0007747763659336832
DL,0.000490451180771437
Nzeros,0.0004600019686308999
Tendency,0.0003727344179266474
DR,0.0
DS,0.0
DS.1,0.0
